electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h
4.5,5.55,9.0,6.621
0.1,9.0,6.9,0.955
0.07,9.0,5.6,0.68
0.1,9.0,5.5922,1.878
2.984,9.0,5.5858,4.98
4.349,9.0,5.373,5.421
5.55,9.0,5.1253,5.5646
9.0,6.9,5.45,9.0
9.0,5.6,5.6,9.0
9.0,5.5922,6.9,9.0
9.0,5.5858,6.9,9.0
9.0,5.373,6.9,9.0
9.0,5.1253,6.621,9.0
6.9,5.45,0.955,6.9
5.6,5.6,0.68,5.6
5.5922,6.9,1.878,5.555
5.5858,6.9,4.98,5.508
5.373,6.9,5.421,5.5623
5.1253,6.621,5.5646,5.563
5.45,0.955,9.0,5.515
5.6,0.68,9.0,5.6
6.9,1.878,9.0,6.9
6.9,4.98,9.0,6.9
6.9,5.421,9.0,6.9
6.621,5.5646,9.0,6.8803
0.955,9.0,6.9,2.5007
0.68,9.0,5.6,1.498
1.878,9.0,5.555,3.0
4.98,9.0,5.508,5.4675
5.421,9.0,5.5623,5.4
5.5646,9.0,5.563,5.5237
9.0,6.9,5.515,9.0
9.0,5.6,5.6,9.0
9.0,5.555,6.9,9.0
9.0,5.508,6.9,9.0
9.0,5.5623,6.9,9.0
9.0,5.563,6.8803,9.0
6.9,5.515,2.5007,6.9
5.6,5.6,1.498,5.5879
5.555,6.9,3.0,4.34
5.508,6.9,5.4675,4.83
5.5623,6.9,5.4,1.75
5.563,6.8803,5.5237,3.14
5.515,2.5007,9.0,4.745
5.6,1.498,9.0,5.5838
6.9,3.0,9.0,3.033
6.9,5.4675,9.0,4.68
6.9,5.4,9.0,4.7
6.8803,5.5237,9.0,4.7
2.5007,9.0,6.9,1.12
1.498,9.0,5.5879,0.95
3.0,9.0,4.34,1.8
5.4675,9.0,4.83,4.15
5.4,9.0,1.75,5.0
5.5237,9.0,3.14,5.1
9.0,6.9,4.745,8.0
9.0,5.5879,5.5838,8.45
9.0,4.34,3.033,8.9
9.0,4.83,4.68,8.9487
9.0,1.75,4.7,8.952
9.0,3.14,4.7,8.6
6.9,4.745,1.12,6.7
5.5879,5.5838,0.95,3.0
4.34,3.033,1.8,4.709
4.83,4.68,4.15,5.5
1.75,4.7,5.0,5.5
3.14,4.7,5.1,5.5
4.745,1.12,8.0,5.5
5.5838,0.95,8.45,3.08
3.033,1.8,8.9,3.04
4.68,4.15,8.9487,4.679
4.7,5.0,8.952,4.679
4.7,5.1,8.6,4.3
1.12,8.0,6.7,2.45
0.95,8.45,3.0,2.1
1.8,8.9,4.709,2.45
4.15,8.9487,5.5,2.0
5.0,8.952,5.5,4.35
5.1,8.6,5.5,4.6
8.0,6.7,5.5,6.5
8.45,3.0,3.08,8.5
8.9,4.709,3.04,8.9459
8.9487,5.5,4.679,9.0
8.952,5.5,4.679,9.0
8.6,5.5,4.3,8.9
6.7,5.5,2.45,6.78
3.0,3.08,2.1,2.93
4.709,3.04,2.45,5.0
5.5,4.679,2.0,4.745
5.5,4.679,4.35,4.745
5.5,4.3,4.6,4.745
5.5,2.45,6.5,5.5
3.08,2.1,8.5,3.98
3.04,2.45,8.9459,1.3
4.679,2.0,9.0,4.0
4.679,4.35,9.0,4.25
4.3,4.6,8.9,4.0
2.45,6.5,6.78,0.399
2.1,8.5,2.93,0.399
2.45,8.9459,5.0,0.399
2.0,9.0,4.745,0.298
4.35,9.0,4.745,3.1
4.6,8.9,4.745,4.55
6.5,6.78,5.5,5.9
8.5,2.93,3.98,8.9
8.9459,5.0,1.3,9.0
9.0,4.745,4.0,9.0
9.0,4.745,4.25,9.0
8.9,4.745,4.0,9.0
6.78,5.5,0.399,6.9
2.93,3.98,0.399,4.98
5.0,1.3,0.399,4.34
4.745,4.0,0.298,5.0
4.745,4.25,3.1,5.0
4.745,4.0,4.55,4.34
5.5,0.399,5.9,3.98
3.98,0.399,8.9,3.02
1.3,0.399,9.0,5.88
4.0,0.298,9.0,5.38
4.25,3.1,9.0,3.85
4.0,4.55,9.0,1.113
0.399,5.9,6.9,0.09
0.399,8.9,4.98,0.089
0.399,9.0,4.34,0.1
0.298,9.0,5.0,0.399
3.1,9.0,5.0,3.85
4.55,9.0,4.34,5.522
5.9,6.9,3.98,8.9518
8.9,4.98,3.02,9.0
9.0,4.34,5.88,9.0
9.0,5.0,5.38,9.0
9.0,5.0,3.85,9.0
9.0,4.34,1.113,9.0
6.9,3.98,0.09,6.9
4.98,3.02,0.089,5.6
4.34,5.88,0.1,5.6
5.0,5.38,0.399,5.5872
5.0,3.85,3.85,5.5838
4.34,1.113,5.522,5.582
3.98,0.09,8.9518,5.5867
3.02,0.089,9.0,5.6
5.88,0.1,9.0,6.9
5.38,0.399,9.0,6.9
3.85,3.85,9.0,6.9
1.113,5.522,9.0,6.9
0.09,8.9518,6.9,0.1
0.089,9.0,5.6,0.1
0.1,9.0,5.6,0.1
0.399,9.0,5.5872,3.0007
3.85,9.0,5.5838,5.5375
5.522,9.0,5.582,5.6
8.9518,6.9,5.5867,5.48
9.0,5.6,5.6,9.0
9.0,5.6,6.9,9.0
9.0,5.5872,6.9,9.0
9.0,5.5838,6.9,9.0
9.0,5.582,6.9,9.0
6.9,5.5867,0.1,6.9
5.6,5.6,0.1,5.6
5.6,6.9,0.1,5.593
5.5872,6.9,3.0007,5.538
5.5838,6.9,5.5375,4.745
5.582,6.9,5.6,4.34
5.5867,0.1,5.48,5.538
5.6,0.1,9.0,5.6
6.9,0.1,9.0,6.9
6.9,3.0007,9.0,6.9
6.9,5.5375,9.0,6.9
6.9,5.6,9.0,5.38
0.1,5.48,6.9,4.35
0.1,9.0,5.6,3.98
0.1,9.0,5.593,4.65
3.0007,9.0,5.538,5.4687
5.5375,9.0,4.745,5.5
5.6,9.0,4.34,5.6
5.48,6.9,5.538,9.0
9.0,5.6,5.6,9.0
9.0,5.593,6.9,9.0
9.0,5.538,6.9,9.0
9.0,4.745,6.9,9.0
9.0,4.34,5.38,9.0
6.9,5.538,4.35,6.9
5.6,5.6,3.98,5.6
5.593,6.9,4.65,5.5877
5.538,6.9,5.4687,4.745
4.745,6.9,5.5,4.7
4.34,5.38,5.6,4.745
5.538,4.35,9.0,5.0
5.6,3.98,9.0,5.6
6.9,4.65,9.0,6.9
6.9,5.4687,9.0,6.9
6.9,5.5,9.0,4.18
5.38,5.6,9.0,3.98
4.35,9.0,6.9,1.4
3.98,9.0,5.6,0.405
4.65,9.0,5.5877,1.105
5.4687,9.0,4.745,1.105
5.5,9.0,4.7,1.96
5.6,9.0,4.745,3.04
9.0,6.9,5.0,5.48
9.0,5.6,5.6,9.0
9.0,5.5877,6.9,9.0
9.0,4.745,6.9,9.0
9.0,4.7,4.18,9.0
9.0,4.745,3.98,9.0
6.9,5.0,1.4,6.51
5.6,5.6,0.405,5.6
5.5877,6.9,1.105,5.18
4.745,6.9,1.105,4.745
4.7,4.18,1.96,4.5
4.745,3.98,3.04,4.34
5.0,1.4,5.48,5.5629
5.6,0.405,9.0,5.6
6.9,1.105,9.0,6.8735
6.9,1.105,9.0,6.9
4.18,1.96,9.0,6.8751
3.98,3.04,9.0,3.8
1.4,5.48,6.51,0.1
0.405,9.0,5.6,0.1
1.105,9.0,5.18,0.1
1.105,9.0,4.745,1.875
1.96,9.0,4.5,1.399
3.04,9.0,4.34,5.5673
5.48,6.51,5.5629,9.0
9.0,5.6,5.6,9.0
9.0,5.18,6.8735,9.0
9.0,4.745,6.9,9.0
9.0,4.5,6.8751,9.0
9.0,4.34,3.8,9.0
6.51,5.5629,0.1,6.9
5.6,5.6,0.1,5.6
5.18,6.8735,0.1,5.6
4.745,6.9,1.875,5.5868
4.5,6.8751,1.399,5.5603
4.34,3.8,5.5673,5.288
5.5629,0.1,9.0,5.5874
5.6,0.1,9.0,5.6
6.8735,0.1,9.0,6.9
6.9,1.875,9.0,6.9
6.8751,1.399,9.0,5.88
3.8,5.5673,9.0,4.6
0.1,9.0,6.9,0.405
0.1,9.0,5.6,0.1
0.1,9.0,5.6,0.389
1.875,9.0,5.5868,3.5
1.399,9.0,5.5603,4.65
5.5673,9.0,5.288,5.6
9.0,6.9,5.5874,9.0
9.0,5.6,5.6,9.0
9.0,5.6,6.9,9.0
9.0,5.5868,6.9,9.0
9.0,5.5603,5.88,9.0
9.0,5.288,4.6,9.0
6.9,5.5874,0.405,6.9
5.6,5.6,0.1,5.6
5.6,6.9,0.389,3.98
5.5868,6.9,3.5,3.0
5.5603,5.88,4.65,1.45
5.288,4.6,5.6,1.0
5.5874,0.405,9.0,2.872
5.6,0.1,9.0,1.45
6.9,0.389,9.0,1.35
6.9,3.5,9.0,1.35
5.88,4.65,9.0,2.9
4.6,5.6,9.0,1.25
0.405,9.0,6.9,0.388
0.1,9.0,5.6,0.405
0.389,9.0,3.98,0.388
3.5,9.0,3.0,1.5
4.65,9.0,1.45,1.45
5.6,9.0,1.0,4.18
9.0,6.9,2.872,9.0
9.0,5.6,1.45,9.0
9.0,3.98,1.35,9.0
9.0,3.0,1.35,9.0
9.0,1.45,2.9,9.0
9.0,1.0,1.25,9.0
6.9,2.872,0.388,6.9
5.6,1.45,0.405,5.6
3.98,1.35,0.388,4.3
3.0,1.35,1.5,3.5
1.45,2.9,1.45,3.04
1.0,1.25,4.18,3.04
2.872,0.388,9.0,3.98
1.45,0.405,9.0,5.5829
1.35,0.388,9.0,6.9
1.35,1.5,9.0,6.9
2.9,1.45,9.0,6.8738
1.25,4.18,9.0,3.98
0.388,9.0,6.9,2.995
0.405,9.0,5.6,2.995
0.388,9.0,4.3,2.995
1.5,9.0,3.5,2.995
1.45,9.0,3.04,3.04
4.18,9.0,3.04,4.35
9.0,6.9,3.98,9.0
9.0,5.6,5.5829,9.0
9.0,4.3,6.9,9.0
9.0,3.5,6.9,9.0
9.0,3.04,6.8738,9.0
9.0,3.04,3.98,9.0
6.9,3.98,2.995,6.9
5.6,5.5829,2.995,5.6
4.3,6.9,2.995,5.5833
3.5,6.9,2.995,4.745
3.04,6.8738,3.04,4.34
